,Objeto,Descrição,UF,Nome Órgão Superior,count,min,max,mean,std
30596,Objeto: Pregão Eletrônico -  Aquisição de Peças de Viaturas Blindadas.,PEÇA MECÂNICA/ELÉTRICA - VEÍCULO AUTOMOTIVO,RS,Ministério da Defesa,232,0.5,26600.0,1643.6099137931035,3287.363687228317
18969,Objeto: Pregão Eletrônico -  Aquisição de FIOS CIRÚRGICOS para o Sistema de Saúde da Aeronáutica (SISAU),FIO DE SUTURA,RJ,Ministério da Defesa,211,1.19,103.83,6.130947867298578,10.831798560241516
77064,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada em prestação de Serviço de Comunicação Multimídia   SCM, a cabo ou a rádio, para atendimento às necessidades de comunicação de voz e dados nos Postos Censitários do IBGE no Rio Grande do Sul, na operação do Censo 2022.",ACESSO A INTERNET VIA CABO,RS,Ministério da Economia,210,110.0,8639.82,339.8883,681.8107056754789
102003,"Objeto: Pregão Eletrônico -  Registro de Preços com a finalidade de contratar empresa especializada para a prestação do SERVIÇO DE TELEFONIA MÓVEL PESSOAL (SMP), nas modalidades: Local, Longa Distância Nacional   LDN, Longa Distância Internacional   LDI e Roaming internacional, com tecnologia digital, para realizar chamadas de voz e/ou acessar a Internet, a ser executado de forma contínua, no âmbito da Sede Nacional, nas Unidades Regionais e na Universidade Corporativa da Polícia Rodoviária Federal.","PACOTE DE SERVICOS SMP (VOZ, DADOS, SMS, ETC)",AC,Ministério da Justiça e Segurança Pública,195,2.0,70.0,22.96442564102564,16.276309065074102
80569,"Objeto: Pregão Eletrônico -  Contratação futura de laboratório de apoio em análises clínicas, para atendimento à demanda de exames não realizados pelo Laboratório Central de Análises Clínicas   LACEN da Universidade Federal de Alfenas   UNIFAL-MG ou momentaneamente não realizados.",LABORATORIO - ANALISE BIOLOGICA / ANÁLISE IMUNOBIOLÓGICA /  MONITORAMENTO SANITÁRIO - GENÉTICO,MG,Ministério da Educação,192,1.7,182.44,19.597083333333334,27.540558664508396
68227,Objeto: Pregão Eletrônico -  Aquisição de ração operacional,RAÇÃO HUMANA DE EMERGÊNCIA,AC,Ministério da Defesa,180,43.59,98.71,69.80777777777777,19.86797427364075
80781,Objeto: Pregão Eletrônico -  Escolha da proposta mais vantajosa para a aquisição de Livros para atender a Biblioteca da Universidade Federal do Agreste de Pernambuco - UFAPE,'LIVRO',PE,Ministério da Educação,180,14.6,1080.0,153.20164444444444,164.68508328476426
95859,"Objeto: Pregão Eletrônico -  O objeto da presente licitação é uma compra visando a aquisição de livros novos, para suprir a necessidade de bibliografias do curso de licenciatura interdisciplinar em artes, com o objetivo de atender aos conteúdos das disciplinas/unidades curriculares para adequar o acervo da biblioteca aos critérios de avaliação in loco do MEC no centro de Cultura Linguagens e Tecnologias Aplicadas - CECULT/UFRB em Santo Amaro-Bahia:",LIVRO C. SOC/ESTAT/POLÍT/ECON/COMÉRCIO E DIREITO,BA,Ministério da Educação,178,16.596666666666668,392.215,59.695131086142325,40.43045794462819
80035,"Objeto: Pregão Eletrônico -  Contratação de serviços de reforma, recuperação e/ou revisão geral de componentes reparáveis das aeronaves C-95, G-19, T-25 e T-27, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos",INSTALACAO/MANUTENCAO- EQUIPAMENTO ELETRONICO/ELETROMECANICO,RJ,Ministério da Defesa,177,688.9899999999999,142754.54611111112,8498.649408696456,17021.82878253701
76650,"Objeto: Pregão Eletrônico -  Contratac a o de servic os gra ficos e servic os de a udio, vi deo e foto",ELABORACAO DE ARTE - GRAFICA,GO,Ministério da Defesa,173,0.02,1100.0,38.40953757225433,126.02977222463835
76651,"Objeto: Pregão Eletrônico -  Contratac a o de servic os gra ficos e servic os de a udio, vi deo e foto",ELABORACAO DE ARTE - GRAFICA,MG,Ministério da Defesa,173,0.02,1100.0,38.40953757225433,126.02977222463835
108531,Objeto: Pregão Eletrônico -  Registro de preços para aquisição de Material Hidráulico.,CONEXÃO HIDRÁULICA,PE,Ministério da Defesa,167,0.16,48.34,5.205269461077844,8.261857912230946
35125,Objeto: Pregão Eletrônico -  Aquisição de equipamentos laboratoriais em geral.,HOMOGENEIZADOR,MG,Ministério da Educação,164,57.42,80000.0,4858.71006097561,8478.595071028605
16,Informação protegida por sigilo nos termos da legislação vigente,Informação protegida por sigilo nos termos da legislação vigente,RN,Ministério da Justiça e Segurança Pública,161,4.8,524499.99,8635.871585485453,41974.876299144045
43869,Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo e permanentes da Turma de navegação fluvial do Comando de Fronteira Solimões / 8º Batalhão de Infantaria de Selva.,COMPONENTE EMBARCAÇÃO,SP,Ministério da Defesa,155,1.17,31180.0,1240.6711612903225,4181.575557676136
43868,Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo e permanentes da Turma de navegação fluvial do Comando de Fronteira Solimões / 8º Batalhão de Infantaria de Selva.,COMPONENTE EMBARCAÇÃO,AM,Ministério da Defesa,155,1.17,31180.0,1240.6711612903225,4181.575557676136
22156,"Objeto: Pregão Eletrônico -  Aquisição de Livros Didáticos e Paradidáticos para o acervo da Biblioteca Olavo Bilac, para atender as demandas de apoio às atividades de ensino, extraclasse e culturais dos alunos do Colégio Militar de Curitiba   CMC.",LIVRO DIDÁTICO,PR,Ministério da Defesa,152,11.31,438.0,73.72217105263158,71.50552625258617
76633,Objeto: Pregão Eletrônico -  Contratac a o de empresa especializada na prestac a o de servic os necessa rios a  implantac a o e manutenc a o dos sistemas inteligente e integrado para defesa dos aquartelamentos,PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANCA - ELETRONICA24 HORAS DIUTURNAS,RJ,Ministério da Defesa,148,2.33,57360.0,4544.104864864865,9538.583890555521
114669,Objeto: Pregão Eletrônico -  Serviço de calibração de equipamentos e instrumentos do Centro de Avaliações do Exército.,"AFERICAO, CALIBRACAO E MEDICAO DE MAQUINAS / INSTRUMENTOS  /SENSORES / PADROES / EQUIPAMENTOS",RJ,Ministério da Defesa,146,38.0,11975.0,284.20636986301366,1044.3164543624932
100014,"Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA O SERVIÇOS GRÁFICOS DE IMPRESSÃO E ACABAMENTO DE LIVROS   DESTINADOS A EDITORA DA UFSM,",EDICAO / IMPRESSAO PERIODICOS,RN,Ministério da Educação,144,7.44,118.44,26.7925625,16.029511187779345
100015,"Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA O SERVIÇOS GRÁFICOS DE IMPRESSÃO E ACABAMENTO DE LIVROS   DESTINADOS A EDITORA DA UFSM,",EDICAO / IMPRESSAO PERIODICOS,RS,Ministério da Educação,144,7.44,118.44,26.7925625,16.029511187779345
45022,"Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo: Alimentos Perecíveis (carnes diversas, frutas, legumes e verduras, frios, pães, leite, ovos); Secos Ensacados (arroz, feijões, farinha) e alimentos para Lanches (achocolatado, sucos e biscoitos), conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",LEGUME IN NATURA,PI,Ministério da Educação,144,2.0,29.85,7.8187500000000005,6.685409107157909
99924,"Objeto: Pregão Eletrônico -  REGISTRO DE PREÇOS PARA AQUISIÇÃO DE PRODUTOS  AGROPECUÁRIOS (fertilizantes, sementes, adubo, inseticida, ração, carrinho de  mão...) PARA DIVERSOS SETORES DA UFSM, cumulado com a logística reversa das  embalagens vazias de agrotóxicos.",SEMENTE,RN,Ministério da Educação,138,0.45,3299.0,222.12389347826087,547.66371248632
99925,"Objeto: Pregão Eletrônico -  REGISTRO DE PREÇOS PARA AQUISIÇÃO DE PRODUTOS  AGROPECUÁRIOS (fertilizantes, sementes, adubo, inseticida, ração, carrinho de  mão...) PARA DIVERSOS SETORES DA UFSM, cumulado com a logística reversa das  embalagens vazias de agrotóxicos.",SEMENTE,RS,Ministério da Educação,138,0.45,3299.0,222.12389347826087,547.66371248632
57622,Objeto: Pregão Eletrônico -  Aquisição de material de saúde.,CERÂMICA ODONTOLÓGICA,RJ,Ministério da Defesa,137,100.0,640.0,416.764598540146,149.08370205246626
36242,"Objeto: Pregão Eletrônico -  Aquisição de filtros, e lubrificantes (automotivos novos) e itens diversos do GCALC da Guarnição de Natal/RN",FILTRO ÓLEO HIDRÁULICO,RN,Ministério da Defesa,136,11.2,295.0,68.73823529411764,43.70715922172379
33071,"Objeto: Pregão Eletrônico -  Aquisição de baterias, filtros, lubrificantes (automotivos e novos) e pneus.",ELEMENTO FILTRO AR - VEÍCULO AUTOMOTIVO,SC,Ministério da Defesa,132,10.4,318.5,77.58068181818182,57.94249903299015
105990,Objeto: Pregão Eletrônico -  Registro de preço para atletismo destinado ao centro de educação física da UFSM.,EQUIPAMENTO / ACESSÓRIOS DESPORTO,RN,Ministério da Educação,127,18.9,150000.0,3501.812598425197,13606.085180436623
105991,Objeto: Pregão Eletrônico -  Registro de preço para atletismo destinado ao centro de educação física da UFSM.,EQUIPAMENTO / ACESSÓRIOS DESPORTO,RS,Ministério da Educação,127,18.9,150000.0,3501.812598425197,13606.085180436623
43949,"Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo e uso duradouro, para uso no suprimento de necessidades e recompletamento de depósitos, bem como para aplicação na execução de projetos para melhoramentos de instalações do  13º Grupo de Artilharia de Campanha e das Organizações Militares pertencentes ao GCALC da Guarnição de Cachoeira do Sul.",CONEXÃO HIDRÁULICA,RS,Ministério da Defesa,125,0.0001,53.25,4.7278408,5.982283232287305
71653,"Objeto: Pregão Eletrônico -  Aquisição futura de materiais e ferramentas a fim de atender a DMCE, no atendimento das necessidades das faculdades e institutos da UNIFAL-MG.",AUTOCLAVE DESCONTAMINAÇÃO,MG,Ministério da Educação,124,2.2,4928.0,309.9558870967742,718.9504680294009
13208,Objeto: Pregão Eletrônico -  Aquisic a o de material de odontologia,BROCA ALTA ROTAÇÃO,RJ,Ministério da Defesa,123,1.2999999999999998,22.36,4.414634146341464,4.51149738740137
33072,"Objeto: Pregão Eletrônico -  Aquisição de baterias, filtros, lubrificantes (automotivos e novos) e pneus.",FILTRO  ' Y ',SC,Ministério da Defesa,122,6.760000000000001,287.3,82.70155737704918,58.144613957487714
89428,Objeto: Pregão Eletrônico -  GÊNEROS DE ALIMENTAÇÃO - Hortifruti.,FRUTA,RS,Ministério da Educação,121,1.5,28.97,8.83,6.252177753924359
89427,Objeto: Pregão Eletrônico -  GÊNEROS DE ALIMENTAÇÃO - Hortifruti.,FRUTA,RN,Ministério da Educação,121,1.5,28.97,8.83,6.252177753924359
113191,"Objeto: Pregão Eletrônico -  Registro de preços para prestação de serviços gráficos em geral (adesivo, bandeira, banner, bloco de anotações, dentre outros), para atender às demandas da GUARNIÇÃO DE AERONÁUTICA DE RECIFE (GUARNAE-RF).",GRAFICO - CONFECCAO SELO / CONVITE / IMPRESSOS / CERTIFICADOENVELOPE,PE,Ministério da Defesa,120,0.05,4100.0,74.06733333333334,379.71992025244947
77941,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para a prestação de serviços de segurança e vigilância orgânica e patrimonial desarmada nas unidades operacionais do INSS vinculadas às Gerências Executivas em Anápolis/GO, Distrito Federal (unidades localizadas no Estado de Goiás), Boa Vista/RR, Macapá/AP, Cuiabá/MT, Goiânia/GO, Sinop/MT e Campo Grande/MS.",PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS,AC,Ministério do Trabalho,117,46321.68,64932.6,53064.643333333326,3290.8598496095856
67486,Objeto: Pregão Eletrônico -  Aquisição de peças e ferramentas fabricadas/complexas para Mrt 81 e Mrt 120 mm relativos ao PIT 2021.,PEÇAS / ACESSÓRIOS ARMAMENTO,RJ,Ministério da Defesa,117,1.99,35466.66,1868.4931623931625,5137.663259394504
89430,Objeto: Pregão Eletrônico -  GÊNEROS DE ALIMENTAÇÃO - Hortifruti.,LEGUME IN NATURA,RS,Ministério da Educação,117,2.0,28.98,7.3968376068376065,6.0932288096582585
89429,Objeto: Pregão Eletrônico -  GÊNEROS DE ALIMENTAÇÃO - Hortifruti.,LEGUME IN NATURA,RN,Ministério da Educação,117,2.0,28.98,7.3968376068376065,6.0932288096582585
36237,"Objeto: Pregão Eletrônico -  Aquisição de filtros, e lubrificantes (automotivos novos) e itens diversos do GCALC da Guarnição de Natal/RN",ELEMENTO FILTRO AR - VEÍCULO AUTOMOTIVO,RN,Ministério da Defesa,116,12.8,416.64,70.53508620689655,63.37432476265872
77177,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na execução de serviços de infraestrutura de rede de fibra ótica, para realizar serviços de conexão física nas redes INFOVIA Brasília e rede dos demais participantes abrangendo a instalação e a certificação de infraestrutura de fibras óticas com aplicação de materiais",INFOVIA BRASILIA,AC,Ministério da Economia,112,1.8,18000.0,824.0112499999999,1878.0334347277155
75976,"Objeto: Pregão Eletrônico -  CoNTRATAÇÃO  DE  EMPRESA  ESPECIALIZADA  PARA  PRESTAÇÃO  DE  SERVIÇOS  DE INSTALAÇÃO, INSPEÇÃO E REPAROS EM EQUIPAMENTOS DE AR CONDICIONADO TIPO SPLIT E JANELA, COM REPOSIÇÃO DE PEÇAS E ACESSÓRIOS PARA O HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DE SANTA MARIA (HUSM-UFSM),",AR CONDICIONADO - MANUTENCAO DE APARELHOS DE PAREDE,RN,Ministério da Educação,106,6.0,2400.0,359.62735849056605,352.48394128446773
75977,"Objeto: Pregão Eletrônico -  CoNTRATAÇÃO  DE  EMPRESA  ESPECIALIZADA  PARA  PRESTAÇÃO  DE  SERVIÇOS  DE INSTALAÇÃO, INSPEÇÃO E REPAROS EM EQUIPAMENTOS DE AR CONDICIONADO TIPO SPLIT E JANELA, COM REPOSIÇÃO DE PEÇAS E ACESSÓRIOS PARA O HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DE SANTA MARIA (HUSM-UFSM),",AR CONDICIONADO - MANUTENCAO DE APARELHOS DE PAREDE,RS,Ministério da Educação,106,6.0,2400.0,359.62735849056605,352.48394128446773
114679,"Objeto: Pregão Eletrônico -  Serviço de confecção de Móveis sob Medida, necessários para o uso nos espaços administrativos, acadêmicos e de convivência dos Campus e CUNI`s da UFSB.",INSTALACAO / MANUTENCAO / BANCADA,BA,Ministério da Educação,105,1700.0,2933.0,2140.4095238095238,360.64929948097364
99996,Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA AQUISIÇÃO DE PRODUTOS  QUÍMICOS E REAGENTES DESTINADOS AOS CAMPI DA UFSM EM FREDERICO  WESTPHALEN E PALMEIRA DAS MISSÕES.,GEL PARA TOUCADOR,RN,Ministério da Educação,104,9.8,9872.8,308.1161057692308,1162.124344031548
99997,Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA AQUISIÇÃO DE PRODUTOS  QUÍMICOS E REAGENTES DESTINADOS AOS CAMPI DA UFSM EM FREDERICO  WESTPHALEN E PALMEIRA DAS MISSÕES.,GEL PARA TOUCADOR,RS,Ministério da Educação,104,9.8,9872.8,308.1161057692308,1162.124344031548
2,Informação protegida por sigilo nos termos da legislação vigente,Informação protegida por sigilo nos termos da legislação vigente,AC,Presidência da República,104,4.2,2800000.0,45065.90090067858,279656.8463796089
45020,"Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo: Alimentos Perecíveis (carnes diversas, frutas, legumes e verduras, frios, pães, leite, ovos); Secos Ensacados (arroz, feijões, farinha) e alimentos para Lanches (achocolatado, sucos e biscoitos), conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",FRUTA,PI,Ministério da Educação,104,1.6,39.82,7.977019230769231,8.355329661192274
100218,"Objeto: Pregão Eletrônico -  Refere-se a escolha da proposta mais vantajosa para a contratação de serviços de condução de veículos, por meio do registro de preços, de forma continuada, sem fornecimento de automóvel para atender às demandas dos Distritos Sanitários Especiais Indígenas vinculados à Secretaria Especial de Saúde Indígena   SESAI, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",PRESTACAO DE SERVICOS DE MOTORISTA,AC,Ministério da Saúde,103,31900.0,200000.0,88841.59737864077,40211.3636942129
104064,"Objeto: Pregão Eletrônico -  Registro de Preços para eventual contratação de empresa especializada na prestação de serviços gráficos, envolvendo impressão e acabamento, manuseio, embalagem, transporte e entrega, de forma a atender a Editora UFRJ no que tange à produção de livros, catálogo e lista geral de publicações.",EDICAO / IMPRESSAO OBRAS PUBLICAS - LIVRO / REVISTA / PERIO-DICO,RJ,Ministério da Educação,102,9.3,43.55,17.89470588235294,5.957500922313903
92845,"Objeto: Pregão Eletrônico -  O objetivo da presente licitação é o registro de preços para eventual fornecimento de Material de Consumo Laboratorial, em proveito do Hospital de Guarnição de Alegrete, conforme condições, quantidades, exigências e estimativas, estabelecidas no Termo de Referência.",REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,RS,Ministério da Defesa,101,0.41,790.88,180.07168316831684,211.3041138362872
58477,Objeto: Pregão Eletrônico -  Aquisição de material esportivo,EQUIPAMENTO / ACESSÓRIOS DESPORTO,SP,Ministério da Defesa,98,3.28,6425.0,556.8267346938775,962.7948964994104
58500,"Objeto: Pregão Eletrônico -  Aquisição de material esportivo, por meio do Sistema de Registro de Preços",EQUIPAMENTO / ACESSÓRIOS DESPORTO,SP,Ministério da Defesa,98,3.28,6425.0,556.8267346938775,962.7948964994104
77299,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados com mão de obra exclusiva de Apoio Administrativo, Assistente Administrativo II e Motorista, a serem executados nas dependências do Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio).",PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO,AC,Ministério do Meio Ambiente,97,3930.24,73955.7,9290.17231958763,11770.803793884357
77305,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados com mão de obra exclusiva de Apoio Administrativo, Assistente Administrativo II, Bibliotecário, Contador, Gerente de Frota e Motorista, a serem executados nas dependências do Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio), conforme condições, quantidades e exigências estabelecidas no Edital e em seus anexos.",PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO,AC,Ministério do Meio Ambiente,97,3930.24,73955.7,9290.17231958763,11770.803793884357
76763,Objeto: Pregão Eletrônico -  Contratação de Empresa para Prestação de Serviços de Exames Laboratoriais Especializados.,"ANALISE CLINICA, ANATOMIA PATOLOGICA E CITOPATOLOGIA",PB,Ministério da Educação,97,6.0,321.0,31.948453608247423,41.73262391253908
77293,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados com mão de obra exclusiva de Apoio Administrativo e Motorista, a serem executados nas dependências do Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio).",PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO,AC,Ministério do Meio Ambiente,97,3930.24,73955.7,9290.17231958763,11770.803793884357
47576,Objeto: Pregão Eletrônico -  Aquisição de materiais hidrossanitários e de tratamento de água,CONEXÃO HIDRÁULICA,RO,Ministério da Defesa,96,0.55,84.66000000000001,12.343541666666667,15.780714010873604
110649,Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de materiais de aeromodelismo.,MOTOR - AEROMODELO,RJ,Ministério da Defesa,96,18.0,29400.0,1703.1666666666667,5003.16983240923
33598,"Objeto: Pregão Eletrônico -  Aquisição de distintivo militar (DOM) em metal, a serem utilizados pelo GAP-DF e Unidades Apoiadas.",INSIGNIA DE USO PESSOAL,AC,Ministério da Defesa,95,4.3,986.0,75.94905263157895,102.11758417642437
79991,"Objeto: Pregão Eletrônico -  Contratação de serviços de limpeza, conservação, higienização, capina e roçagem, com fornecimento de insumos materiais, utensílios e equipamentos, para atendimento das necessidades das unidades do Instituto Federal do Acre.",SERVICO ESPECIALIZADO DE LIMPEZA,AC,Ministério da Educação,95,0.72,243.93,43.51063157894737,62.10108574462038
79992,"Objeto: Pregão Eletrônico -  Contratação de serviços de limpeza, conservação, higienização, capina e roçagem, com fornecimento de insumos materiais, utensílios e equipamentos, para atendimento das necessidades das unidades do Instituto Federal do Acre.",SERVICO ESPECIALIZADO DE LIMPEZA,MT,Ministério da Educação,95,0.72,243.93,43.51063157894737,62.10108574462038
60054,Objeto: Pregão Eletrônico -  Aquisição de material para a Ortopedia (CCOr) do HCE,PRÓTESE DE QUADRIL,RJ,Ministério da Defesa,93,459.02,17905.0,5060.152580645161,3849.532256231834
105304,Objeto: Pregão Eletrônico -  Registro de prec os para eventual aquisic a o de materiais diversificados compreendendo ge neros alimenti cios industrializados para a Sec a o de Subsiste ncia (SSUB) do Grupamento de apoio de Canoas (GAP-CO) e para a Sec a o de Subsiste ncia (SSUB) da ALA-3.,CESTA BÁSICA - GÊNEROS ALIMENTÍCIOS,RS,Ministério da Defesa,92,1.57,114.5,15.141195652173913,19.701146998593774
10459,Objeto: Pregão Eletrônico -  Aquisic a o de Bandeiras,BANDEIRA SINALIZAÇÃO,RJ,Ministério da Defesa,92,120.0,370.0,220.4891304347826,70.29787400302683
22642,Objeto: Pregão Eletrônico -  Aquisição de MATERIAL HIDRÁULICO.,CONEXÃO HIDRÁULICA,AC,Ministério da Defesa,92,0.29,198.0,10.340978260869566,24.111283531533186
14,Informação protegida por sigilo nos termos da legislação vigente,Informação protegida por sigilo nos termos da legislação vigente,PR,Ministério da Justiça e Segurança Pública,90,2.2,79998.48,1870.1441616035513,10131.427987489062
76645,"Objeto: Pregão Eletrônico -  Contratac a o de servic o de transporte de carga dedicada de ponto a ponto por via terrestre utilizando caminha o, carreta e furga o cargueiro para a SDAB, conforme condic o es, quantidades e exige ncias estabelecidas neste Edital e seus anexos",TRANSPORTE DE MUDANCA - LOCAL,RJ,Ministério da Defesa,88,120.0,9546.32,810.5947727272727,1137.2609605164903
79657,"Objeto: Pregão Eletrônico -  Contratação de serviço de transporte de carga dedicada de ponto a ponto por via terrestre utilizando caminhão, carreta e furgão cargueiro para a SDAB",TRANSPORTE DE MUDANCA - LOCAL,RJ,Ministério da Defesa,88,120.0,9546.32,810.5947727272727,1137.2609605164903
109016,"Objeto: Pregão Eletrônico -  Registro de preços para aquisição de materiais de  construção, para atender as necessidades do 9º Batalhão de Engenharia de Combate, na cidade de Aquidauana - MS, por um período estimado de 12 meses.",CONEXÃO HIDRÁULICA,MS,Ministério da Defesa,86,0.54,255.9,15.893488372093024,33.9996202320466
79495,"Objeto: Pregão Eletrônico -  Contratação de serviço contínuo de acesso à rede mundial de computadores  internet', com fornecimento de tecnologia SD-WAN, de acordo com a regulamentação da ANATEL, conforme condições, quantidades, exigências e estimativas, estabelecidas no Edital, visando o atendimento das necessidades da Superintendência da Polícia Rodoviária Federal em Minas Gerais - SPRF/MG.",ACESSO A INTERNET VIA CABO,MG,Ministério da Justiça e Segurança Pública,85,120.0,1933.3333333333333,1328.6666666666667,293.357773152141
