,Descrição,UF,count,min,max,mean,std
39758,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,BA,226,0.33,6107.0,85.57969026548672,545.3460915421949
14076,CONEXÃO HIDRÁULICA,MS,223,0.4,255.9,15.468475336322872,26.40877441558768
36824,PLACA ORTOPÉDICA - PEQUENOS E GRANDES FRAGMENTOS,RJ,222,32.5,18845.0,5672.427837837838,3727.2949121787615
34744,PARAFUSO ÓSSEO - PEQUENOS E GRANDES FRAGMENTOS,RJ,217,34.5,8842.5,1217.5264055299538,1243.1233543072292
1323,"AFERICAO, CALIBRACAO E MEDICAO DE MAQUINAS / INSTRUMENTOS  /SENSORES / PADROES / EQUIPAMENTOS",RJ,215,38.0,90100.0,5093.372952120383,13562.370507573543
35885,PEÇAS - EQUIPAMENTO ODONTOLÓGICO,PB,214,31.890000000000004,2295.0,395.26182242990654,346.315757856693
35892,PEÇAS - EQUIPAMENTO ODONTOLÓGICO,RR,214,31.890000000000004,2295.0,395.26182242990654,346.315757856693
39791,REAGENTE PARA DIAGNÓSTICO CLÍNICO 6,RJ,214,0.65,1417.5,63.54208738317757,164.2997949539732
13750,CONDIMENTO,RN,211,0.6799999999999999,190.0,17.19388625592417,22.488298630649815
2821,APARA DE MADEIRA,AC,210,0.0217,20000.0,337.0069658152958,1441.527815924644
38914,PRÓTESE DE QUADRIL,RJ,205,200.0,19100.0,5479.513365853659,4331.605162849495
30416,MEIO DE CULTURA,RJ,204,0.36,4900.0,139.55443355119826,428.33825176866566
23528,FRUTA,AC,203,0.001,110.2737391304348,7.401254872563718,9.828448475003572
33714,"PACOTE DE SERVICOS SMP (VOZ, DADOS, SMS, ETC)",AC,198,2.0,70.0,22.763449494949494,16.23490558598236
18788,EQUIPAMENTO / ACESSÓRIOS DESPORTO,SP,198,3.28,6425.0,554.3165656565657,955.7605791441773
26875,LABORATORIO - ANALISE BIOLOGICA / ANÁLISE IMUNOBIOLÓGICA /  MONITORAMENTO SANITÁRIO - GENÉTICO,MG,192,1.7,182.44,19.597083333333334,27.540558664508396
23542,FRUTA,PR,190,1.33,25.6,7.313947368421053,5.2447956262600375
14084,CONEXÃO HIDRÁULICA,RO,189,0.35,500.0,16.313174603174602,52.96411123798822
39813,REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,RJ,188,0.65,5474.28,551.7833776595744,1028.6481350199922
145,'LIVRO',PE,188,14.6,1080.0,154.56444680851064,162.4203605944737
39757,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,AM,184,0.52,550.0,32.436358695652174,87.99601218797014
16770,DETERMINADOR IMPUREZA,MG,183,1.93,190000.0,3123.3789617486336,14608.19229402
47541,VERDURA IN NATURA,RS,182,1.0,72.0,7.059010989010989,9.90085241655809
13747,CONDIMENTO,PI,181,0.94,39.0,10.267955801104973,9.06116185328178
39584,RAÇÃO HUMANA DE EMERGÊNCIA,AC,180,43.59,98.71,69.80777777777777,19.86797427364075
11147,CERÂMICA ODONTOLÓGICA,RJ,179,100.0,839.2199999999999,448.3696089385475,170.8190102219803
47537,VERDURA IN NATURA,RJ,178,0.75,34.8,4.39308988764045,4.410463163195954
46220,TRANSPORTE DE MUDANCA - LOCAL,RJ,177,120.0,9546.32,815.2806779661016,1132.4979936253515
2760,ANTICORPO,RJ,177,1.49,17000.0,2746.8860922787194,2388.656990427702
42252,SERINGA,RJ,176,0.14,290.0,10.71271974431818,39.376657313372284
2738,ANTIBIOGRAMA,RJ,175,0.1999999999999999,240.0,41.56354857142857,70.23747053427866
18031,ELABORACAO DE ARTE - GRAFICA,MG,173,0.02,1100.0,38.40953757225433,126.02977222463835
10368,CARTUCHO TONER IMPRESSORA HP,RJ,173,19.0,19406.0,402.9574218877694,2072.552033375153
18030,ELABORACAO DE ARTE - GRAFICA,GO,173,0.02,1100.0,38.40953757225433,126.02977222463835
38311,PRESTACAO DE SERVICOS DE MOTORISTA,AC,171,31900.0,200000.0,89013.27678362573,39066.381792359665
12661,CLORETO DE SÓDIO,RJ,170,0.03,357.0,11.517376470588236,46.46666751018844
30410,MEIO DE CULTURA,MG,169,2.0,2360.0,312.30952662721893,343.97348357590886
6093,BISCOITO,RJ,169,0.26,314.0,7.004852071005917,24.818269506903032
23530,FRUTA,AM,168,1.1,90.0,13.140119047619047,15.778933503273056
18786,EQUIPAMENTO / ACESSÓRIOS DESPORTO,RS,168,7.85,150000.0,2829.217142857143,11925.02367852717
26026,INSIGNIA DE USO PESSOAL,AC,166,4.3,986.0,51.37612842579108,83.1874446287629
2740,ANTIBIOGRAMA,RS,165,0.2,1597.76,51.54915151515152,185.91133714366106
26631,Informação protegida por sigilo nos termos da legislação vigente,RN,161,4.8,524499.99,8635.871585485453,41974.876299144045
14081,CONEXÃO HIDRÁULICA,PR,160,0.45,235.0,13.672875,27.69467563177183
38581,PROMOCAO DE EVENTO,AC,159,5.0,12333330.64,163060.83610062895,996669.4446102056
40344,REGISTRO PRESSÃO,RS,159,7.23,10440.0,568.2586163522012,1436.291748209704
22005,FIO DE SUTURA,RN,159,1.4,300.0,29.475849056603774,54.921842629781565
13462,COMPONENTE EMBARCAÇÃO,SP,158,0.42,31180.0,1217.1222151898735,4144.911252058701
8297,CAGE - DISPOSITIVO PARA FUSÃO INTERSOMÁTICA,RJ,157,1174.84,38500.0,8808.586878980892,10241.621548800507
42169,SEMENTE,RN,157,0.45,3299.0,200.75723996815287,517.24668162231
15084,CORANTE,RJ,156,2.04,3909.0,216.32552564102565,529.9748965212556
34735,PARAFUSO ÓSSEO - MINI E MICRO FRAGMENTOS,RJ,156,48.0,4897.0,903.3848076923077,973.9930822490446
13457,COMPONENTE EMBARCAÇÃO,AM,155,1.17,31180.0,1240.6711612903225,4181.575557676136
14067,CONEXÃO HIDRÁULICA,AC,155,0.29,129600.0,2890.4991612903227,16583.965987711876
27246,LEGUME IN NATURA,AC,154,1.15,90.0,7.503636363636363,11.235386082192457
7167,BROCA ALTA ROTAÇÃO,AC,154,1.61,132.45999999999998,9.355974025974026,18.17177994308687
13741,CONDIMENTO,MG,153,0.9,230.86,16.13483660130719,24.18687992825687
28100,LIVRO DIDÁTICO,PR,152,11.31,438.0,73.72217105263158,71.50552625258617
43531,SUCO,RJ,151,0.59,63.8,6.969139072847682,9.563716985942051
2875,APARELHO AR CONDICIONADO,AC,150,1181.48,13760.0,4121.788271555555,2403.7833411678575
13742,CONDIMENTO,MS,150,0.5,68.95,16.462866666666667,11.168382225090932
27254,LEGUME IN NATURA,MS,150,1.84,28.0,5.3937333333333335,4.644565063210785
43332,SONDA TRATO DIGESTIVO,RJ,149,0.47,1930.0,203.98379731543625,412.38107671397154
42172,SEMENTE,RS,149,0.45,3299.0,208.27729731543627,529.2854878879901
28715,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,MG,149,0.13,119.0,29.982147651006713,18.336876762701017
40341,REGISTRO PRESSÃO,RN,148,7.45,10440.0,608.5734459459459,1481.090029360713
38115,PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANCA - ELETRONICA24 HORAS DIUTURNAS,RJ,148,2.33,57360.0,4544.104864864865,9538.583890555521
21991,FIO DE SUTURA,BA,147,1.48,159.0,11.290204081632654,17.229603684030298
23536,FRUTA,MS,147,1.18,39.0,5.718367346938775,4.639645422330662
45424,TINTA ACRÍLICA,RJ,146,15.0,554.94,130.05186834094368,75.12357502531691
4291,AUTOCLAVE DESCONTAMINAÇÃO,MG,145,2.2,325000.0,10572.739103448275,41299.24824695598
17981,EDICAO / IMPRESSAO PERIODICOS,RN,144,7.44,118.44,26.7925625,16.029511187779345
17982,EDICAO / IMPRESSAO PERIODICOS,RS,144,7.44,118.44,26.7925625,16.029511187779345
18783,EQUIPAMENTO / ACESSÓRIOS DESPORTO,RN,144,16.1,150000.0,3262.2429166666666,12888.339214959338
23548,FRUTA,SC,144,2.5,32.0,8.008819444444445,5.578895985293522
28723,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,RJ,143,0.2773,139.8,31.97472797202797,27.549613371961577
15076,CORANTE,MG,143,0.58,3702.93,161.0434965034965,423.0829260389104
14665,CONJUNTO PARA ANÁLISE,PA,143,51.0,162319.3,7171.746829836829,16516.515337811597
43350,SONDA TRATO URINÁRIO,RJ,143,0.49,57.99,7.502750815850816,9.735959201687036
18304,EMBALAGEM P/ ESTERILIZAÇÃO,RJ,142,0.09,2200.0,146.70225352112678,356.1110635750586
39817,REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,RS,142,0.96,6349.24,328.75239436619717,743.2502689972195
39155,PÃO,RJ,141,0.35,26.99,7.441426950354609,5.0829324005071745
27260,LEGUME IN NATURA,PR,141,0.95,27.2,6.121276595744681,5.65252508063733
21938,FILTRO ÓLEO HIDRÁULICO,RN,141,8.4,745.0,75.63687943262411,76.66054654993897
24551,GRAFICO - CONFECCAO SELO / CONVITE / IMPRESSOS / CERTIFICADOENVELOPE,PE,140,0.05,4100.0,68.58421428571428,351.9573109416503
47538,VERDURA IN NATURA,RN,140,1.8,34.99,6.149428497023809,4.48119080562779
13734,CONDIMENTO,AC,140,1.22,85.32000000000001,15.520857142857144,13.06917624050362
30594,MEMÓRIA RAM,RJ,140,0.19,6299.7,325.81828083333335,726.172554655521
14071,CONEXÃO HIDRÁULICA,CE,139,0.75,202.57,14.931463309352518,28.919024442089928
14068,CONEXÃO HIDRÁULICA,AL,138,0.4,173.1,16.74536231884058,24.683094606568645
3177,APLICADOR,RJ,138,20.9,16190.0,3218.255,2345.1646251143984
27266,LEGUME IN NATURA,SC,137,2.5,28.5,8.00058394160584,5.677640842714331
14069,CONEXÃO HIDRÁULICA,AM,136,0.6,111.21,7.9489705882352935,11.021250737613707
26736,JOGO / BRINQUEDO PEDAGÓGICO,MS,136,7.0,4286.38,308.4937254901961,644.5812928294528
23540,FRUTA,PE,136,0.88,32.0,5.982867647058823,5.963899533158837
28707,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,AC,135,0.2046,104.02,63.25196572333017,39.46584371279035
39755,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,AC,134,0.21,390.0,31.870283582089556,61.37828579283024
22070,FIO GUIA,RJ,133,10.4,2450.0,416.4555639097744,442.982520650806
45237,TESTES PSICOLÓGICOS,RJ,133,1.07,997.0,69.91804511278195,107.70136791468767
15612,CURATIVO,RJ,132,0.88,17000.0,292.1953787878788,2081.01741555467
39761,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,MG,130,0.23,5292.5,134.6356153846154,583.1843080148287
7736,CABO ELÉTRICO FLEXÍVEL,RJ,130,0.95,2079.0,207.74469301929886,367.76565528398277
18503,ENDOPRÓTESE VASCULAR,RJ,129,1000.0,75000.0,16439.247906976743,15425.258040255896
48780,ÁLCOOL ETÍLICO,RJ,129,0.02,869.0,42.49507209302326,113.81523317247341
11148,CESSAO TEMPORARIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCACAO DE SOFTWARE,AC,128,80.13000000000001,8918863.53,193151.26736979166,956813.7708478697
30419,MEIO DE CULTURA,RS,128,2.0,1682.49,161.479328125,228.5133619502304
7728,CABO ELÉTRICO FLEXÍVEL,MG,127,1.4966666666666666,2944.99,432.1519271653543,475.1902172517138
10709,CATETER PERIFÉRICO,RJ,127,0.22,1350.0,34.12084881889764,183.87645649704714
48672,ÁGUA MINERAL NATURAL,AC,127,0.37,2592.0,30.355271694540505,229.24608365040584
39510,RAÇÃO ANIMAL,MG,127,0.7,1523.33,82.21007874015748,143.85782976576
47529,VERDURA IN NATURA,MG,125,1.0,27.860000000000003,5.82712,4.5606866376075
9905,CARNE BOVINA IN NATURA,RN,125,13.8,75.0,38.90216,12.126609210407313
10612,CATETER CENTRAL,RJ,124,1.27,2650.0,742.9935483870968,767.27095780736
9058,CAMPO CIRÚRGICO,RJ,123,0.97,1320.0,55.92178861788618,167.44902742416627
22170,FITA ADESIVA,RJ,123,0.72,139.0,16.719838132617518,26.465376565632486
34782,PARTÍCULAS MAGNÉTICAS,RN,122,0.4,4285.0,327.9603961748634,720.0392164724549
21719,FILTRO  ' Y ',SC,122,6.760000000000001,287.3,82.70155737704918,58.144613957487714
39340,QUEIJO,RJ,122,0.61,3000.0,55.93270491803278,269.63213166554766
10591,CATETER BALÃO,RJ,121,200.0,20737.5,1934.654132231405,3009.480771921648
28588,LUVA CIRÚRGICA,RJ,121,0.78,800.0,61.508876033057845,210.26056138581052
42160,SEMENTE,MG,121,1.5,1063.1,179.5590909090909,188.90977406776315
38154,PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS,AC,121,46321.68,93300.22,54167.2500647383,6867.974778509888
35900,PEÇAS / ACESSÓRIOS ARMAMENTO,SP,121,16.79,5900.0,246.72173553719009,586.3419787556825
34620,PARAFUSO,RJ,120,0.0999999999999999,57.38,8.97135,11.83065733531803
15930,CÂNULA DE TRAQUEOSTOMIA,RJ,119,0.43,617.5,61.343529411764706,120.54282828169228
40703,RESINA COMPOSTA,MG,119,11.53,145.79,67.59642016806723,24.484682997050022
27258,LEGUME IN NATURA,PE,119,1.2,59.8,6.211680672268908,7.553530246533817
13751,CONDIMENTO,RO,118,2.48,52.7,17.455678590798755,12.797584498892787
28101,LIVRO DIDÁTICO,RJ,117,16.75,387.5,144.31504273504274,88.57681597721803
37373,PONTEIRA LABORATÓRIO,RJ,115,0.01,945.0,100.66318304830918,161.89739700649025
9908,CARNE BOVINA IN NATURA,RS,115,9.74,75.0,37.26886956521739,13.013580946910228
2890,APARELHO AR CONDICIONADO,RJ,115,550.0,62000.0,4402.9294782608695,6098.241116470408
22003,FIO DE SUTURA,PR,115,1.43,642.6,32.92810260869565,80.23695479500513
24097,GEL PARA TOUCADOR,RS,114,1.652,9872.8,281.6088131578947,1112.8304882593025
24096,GEL PARA TOUCADOR,RN,114,1.652,9872.8,281.6088131578947,1112.8304882593025
2838,APARELHO / ACESSÓRIO - ACONDICIONAMENTO FÍSICO,RJ,114,34.57,13000.0,3296.032456140351,4166.744627920151
3510,ARCO ORTODÔNTICO INTRAORAL,AC,113,6.74,22.79,12.200088495575223,5.4443575797686465
38899,PRÓTESE DE JOELHO,RJ,113,300.0,65000.0,7283.16371681416,10676.539211640149
39343,QUEIJO,RS,113,5.0,139.0,40.05300884955752,22.268028526059982
14669,CONJUNTO PARA ANÁLISE,RJ,113,6.25,52500.0,3307.009557522124,5675.817289213005
27263,LEGUME IN NATURA,RO,113,2.3200000000000003,17.09,6.056371681415929,3.1276106415129723
24385,GLICOSE,RJ,113,0.4,214.0,4.818407079646017,19.969442350679007
28143,LIXA,RJ,113,0.3999999999999999,2350.0,100.13840707964602,445.7256189341438
30245,MEDALHA,AC,112,6.41,8100.0,692.9271428571428,1109.6755335491225
17978,EDICAO / IMPRESSAO OBRAS PUBLICAS - LIVRO / REVISTA / PERIO-DICO,RJ,112,7.35,73000.0,675.813392857143,6895.8980969902
30528,MEMBRANA SUBSTITUIÇÃO DURA-MÁTER,RJ,112,2850.0,9850.0,5795.013392857143,1947.420158142956
25996,INFOVIA BRASILIA,AC,112,1.8,18000.0,824.0112499999999,1878.0334347277155
14123,CONFECCAO - BORDADO- AVIAMENTO DE ROUPA / FARDAMENTO / CAMISETA,RJ,111,3.5,574.0,99.20225225225226,126.576673139497
26817,JOGO DE UTENSÍLIO DE COZINHA,PI,111,3.17,899.9899999999999,62.9848948948949,107.1553978483791
27248,LEGUME IN NATURA,AM,111,1.49,21.79,5.693117117117118,4.466533912918359
45421,TINTA ACRÍLICA,PE,109,12.19,588.86,87.60146788990825,76.48313997004308
42244,SERINGA,MG,109,0.144,199.25,15.193110091743119,31.143286693071452
47248,VARETA DE VIDRO,RN,109,1.0,2931.4,182.29678899082572,465.32707604213977
35952,PEÇAS E ACESSÓRIOS APARELHO AR CONDICIONADO,RO,109,140.0,10626.41,435.57709449541284,1020.6365240534251
47249,VARETA DE VIDRO,RS,109,1.0,2931.4,182.29678899082572,465.32707604213977
26735,JOGO / BRINQUEDO PEDAGÓGICO,AL,108,46.86000000000001,4286.38,371.69728395061725,709.7161788352792
6097,BISCOITO,RS,108,1.26,87.28,7.360648148148148,13.31383654328126
41661,SACO PLÁSTICO LIXO,RJ,108,0.09,7005.0,84.63863888888889,672.322350260777
25039,GÁS COMPRIMIDO,RJ,107,0.85,5705.0,145.69068535825545,552.9148177765959
2732,ANTIBIOGRAMA,MG,107,0.18,67.51,3.0486915887850468,9.054225854211918
30414,MEIO DE CULTURA,PE,106,1.65,1353.0,215.42641509433963,262.0734822405592
15217,CORREIA TRANSMISSÃO,RJ,106,11.99,4350.0,124.1366037735849,590.0932052802164
27751,LIDOCAÍNA CLORIDRATO,RJ,106,1.36,202.14,16.42627358490566,27.494515999180642
10372,CARTUCHO TONER IMPRESSORA HP,RS,105,13.0,500.0,72.36019047619047,94.43781748387251
28103,LIVRO LITERATURA,AL,104,18.0,119.91666666666669,52.18192307692308,24.488051484786077
7196,BROCA BAIXA ROTAÇÃO,RJ,104,2.6,52.9,12.206346153846154,14.597793825713639
28105,LIVRO LITERATURA,MS,104,18.0,119.91666666666669,52.18192307692308,24.488051484786077
43326,SONDA TRATO DIGESTIVO,MG,103,0.4599999999999999,2100.0,133.10029126213593,330.69843565700876
43455,SORO,RJ,103,9.77,5200.0,414.03776699029123,933.5429337616654
22174,FITA ADESIVA,RS,102,0.58,152.0,27.921235294117647,36.943698646186746
35929,PEÇAS / ACESSÓRIOS EQUIPAMENTOS ESPECIALIZADOS,RJ,101,6.0,7212447.64,507716.64930693066,1445331.6146503065
42532,SERVICO ESPECIALIZADO DE LIMPEZA,AC,101,0.72,2564533.08,31646.988415841584,258199.13792215302
13748,CONDIMENTO,PR,100,1.23,68.95,16.5338,12.947182274475201
39794,REAGENTE PARA DIAGNÓSTICO CLÍNICO 6,RS,100,0.42,6900.3,221.613,885.5429703249409
39780,REAGENTE PARA DIAGNÓSTICO CLÍNICO 6,BA,100,0.5,130.0,13.0528,23.836385482889156
17429,DISJUNTOR BAIXA TENSÃO,RJ,99,5.41,26000.0,311.19453041234857,2609.3424338667533
38912,PRÓTESE DE QUADRIL,PE,99,109.67,28000.0,3862.6876767676767,3688.2174231227455
33290,OLIGONUCLEOTÍDEOS,PA,98,2.25,12147.2,790.6973979591837,1559.8637340963753
39767,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,PI,98,0.7899999999999999,1161.96,240.77816326530612,269.23316385672655
33749,PADRÃO REFERÊNCIA 1,MG,98,0.87,15950.0,1443.806981632653,2533.6755021556414
10025,CARNE SUÍNA IN NATURA,RJ,98,0.0579999999999999,34.9,14.573326530612244,6.043017563578799
7527,BÉQUER,MG,98,2.2,160.0,14.837244897959183,21.88115287397001
9928,CARNE DE AVE IN NATURA,RJ,98,0.1800999999999999,128.92,14.866526581632654,13.564019342849813
28727,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,RS,97,0.13,78.9,21.323092783505157,11.213540977395063
23545,FRUTA,RO,97,1.2,26.7,8.581443298969072,6.571741586407849
2522,"ANALISE CLINICA, ANATOMIA PATOLOGICA E CITOPATOLOGIA",PB,97,6.0,321.0,31.948453608247423,41.73262391253908
47535,VERDURA IN NATURA,PI,97,0.99,13.3,4.568453608247423,2.274220718274626
36395,PIPETA,RJ,97,0.07,1111.5,56.790318470790375,157.40498020235202
28883,LÂMINA,RJ,97,16.64,4887.599999999999,1209.7521649484536,1190.776328268687
7216,BROCA CIRÚRGICA,RJ,96,4.98,6300.0,1166.230625,958.0661968710582
31992,MOTOR - AEROMODELO,RJ,96,18.0,29400.0,1703.1666666666667,5003.16983240923
24569,GRAFICO - IMPRESSOS / PLASTIFICACAO / ACABAMENTO,CE,96,0.1,72.0,7.998340625,13.187318984201037
33760,PAGAMENTO COBERTURAS SEGURO VEÍCULO,MG,96,225.0,34719.71,974.9847916666668,4468.842322827781
18845,EQUIPAMENTO DE OFICINA MECÂNICA,PI,95,1.0,75.0,1.7789473684210526,7.59223980543014
42541,SERVICO ESPECIALIZADO DE LIMPEZA,MT,95,0.72,243.93,43.51063157894737,62.10108574462038
34844,PASTA ARQUIVO,RJ,94,0.6,125.0,7.956382978723404,14.283824737866002
27822,LIMA USO ODONTOLÓGICO,RJ,94,11.15,208.99,82.07670212765957,62.731581718629336
27238,LEGUME EM CONSERVA,RJ,94,1.63,58.99,17.854255319148937,14.125990268026904
23357,FRASCO COLETOR,RJ,94,0.21,509.9,24.985829787234042,67.83418884937328
1325,"AFERICAO, CALIBRACAO E MEDICAO DE MAQUINAS / INSTRUMENTOS  /SENSORES / PADROES / EQUIPAMENTOS",SP,94,57.1,2000.0,555.2797872340426,535.2888926229888
23539,FRUTA,PB,94,0.33,32.0,6.636382978723405,6.617535819689111
13746,CONDIMENTO,PE,93,0.6799999999999999,58.31,16.04741935483871,11.631046151238072
23532,FRUTA,CE,93,1.7,28.0,5.892356630824373,4.568632855552675
11998,CIMENTO ODONTOLÓGICO,RJ,93,3.25,800.0,143.66462365591397,213.96046568771177
25068,GÁS REFRIGERANTE,AC,93,32.8,1874.4,729.9346780429636,265.71226347191805
24555,GRAFICO - CONFECCAO SELO / CONVITE / IMPRESSOS / CERTIFICADOENVELOPE,RS,93,0.08,300.0,20.348172043010752,38.012778399141695
38114,PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANCA - ELETRONICA24 HORAS DIUTURNAS,PR,93,193.32,2916.66,1407.184734441186,749.7286374760357
7106,BRINDE,AC,93,5.69,600.0,108.34946236559139,115.30934007915586
10304,CARTUCHO TINTA IMPRESSORA HP,RJ,93,10.2,800.0,155.9625806451613,174.58428677708523
27241,LEGUME EM CONSERVA,RS,93,1.94,49.9,17.7447311827957,12.854229771743539
42657,SERVICOS GRAFICOS - POLICROMIA,RN,92,0.05,300.0,23.920217391304345,40.545332327884495
27250,LEGUME IN NATURA,CE,92,1.6,46.1,5.782478260869566,5.912963202548029
4993,BANDEIRA SINALIZAÇÃO,RJ,92,120.0,370.0,220.4891304347826,70.29787400302683
28602,LUVA CONEXÃO,MG,92,0.55,75.44,12.837065217391304,15.496674264835837
10662,CATETER P/ HEMODINÂMICA,RJ,92,1.27,13100.0,901.5947826086957,2773.1184774512017
11170,CESTA BÁSICA - GÊNEROS ALIMENTÍCIOS,RS,92,1.57,114.5,15.141195652173913,19.701146998593774
31345,MICROPIPETA,MG,91,0.03,7400.0,535.4158241758241,1073.483840045077
28135,LIXA,MG,91,0.44,121.68,11.903076923076924,27.224441497885586
17784,DOCE NÃO CONFEITADO,RJ,91,0.18,124.05,17.3089010989011,25.28720403025783
12698,CLOREXIDINA DIGLUCONATO,RJ,91,1.42,111.8,17.575274725274724,19.550949925240026
15056,COPO DESCARTÁVEL,RJ,91,1.57,224.0,47.52041465201465,52.01378246183354
