,Código UG_x,Código Modalidade Compra_x,Código Órgão_x,Descrição,Quantidade Item,Código Vencedor,Código Órgão Superior,Município,data,Total,valor_individual,UF
2106,155014,-99,26443,LEGUME IN NATURA,276,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.75,PB
2107,155014,-99,26443,LEGUME IN NATURA,276,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.75,PE
2108,155014,-99,26443,LEGUME IN NATURA,1530,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.38,RN
2109,155014,-99,26443,LEGUME IN NATURA,1530,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.38,PB
2110,155014,-99,26443,LEGUME IN NATURA,1530,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.38,PE
2114,155014,-99,26443,FRUTA,100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,5.7,RN
2115,155014,-99,26443,FRUTA,100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,5.7,PB
2116,155014,-99,26443,FRUTA,100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,5.7,PE
2138,155014,-99,26443,LEGUME IN NATURA,7690,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.88,RN
2139,155014,-99,26443,LEGUME IN NATURA,7690,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.88,PB
2140,155014,-99,26443,LEGUME IN NATURA,7690,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.88,PE
2141,155014,-99,26443,LEGUME IN NATURA,100,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.89,RN
2142,155014,-99,26443,LEGUME IN NATURA,100,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.89,PB
2143,155014,-99,26443,LEGUME IN NATURA,100,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.89,PE
2147,155014,-99,26443,LEGUME IN NATURA,11600,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.69,RN
2148,155014,-99,26443,LEGUME IN NATURA,11600,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.69,PB
2149,155014,-99,26443,LEGUME IN NATURA,11600,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.69,PE
2150,155014,-99,26443,LEGUME IN NATURA,5700,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.69,RN
2151,155014,-99,26443,LEGUME IN NATURA,5700,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.69,PB
2152,155014,-99,26443,LEGUME IN NATURA,5700,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.69,PE
2156,155014,-99,26443,FRUTA,4600,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.42,RN
2157,155014,-99,26443,FRUTA,4600,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.42,PB
2158,155014,-99,26443,FRUTA,4600,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.42,PE
2183,155014,-99,26443,FRUTA,630,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,3.0,RN
2184,155014,-99,26443,FRUTA,630,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,3.0,PB
2185,155014,-99,26443,FRUTA,630,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,3.0,PE
2192,155014,-99,26443,LEGUME IN NATURA,8430,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,2.45,RN
2193,155014,-99,26443,LEGUME IN NATURA,8430,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,2.45,PB
2194,155014,-99,26443,LEGUME IN NATURA,8430,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,2.45,PE
2198,155014,-99,26443,LEGUME IN NATURA,5849,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.36,RN
2199,155014,-99,26443,LEGUME IN NATURA,5849,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.36,PB
2200,155014,-99,26443,LEGUME IN NATURA,5849,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.36,PE
2201,155014,-99,26443,FRUTA,100,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,17.8,RN
2202,155014,-99,26443,FRUTA,100,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,17.8,PB
2203,155014,-99,26443,FRUTA,100,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,17.8,PE
2204,155014,-99,26443,FRUTA,7080,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.68,RN
2205,155014,-99,26443,FRUTA,7080,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.68,PB
2206,155014,-99,26443,FRUTA,7080,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.68,PE
2210,155014,-99,26443,FRUTA,315,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.98,RN
2211,155014,-99,26443,FRUTA,315,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.98,PB
2212,155014,-99,26443,FRUTA,315,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.98,PE
2213,155014,-99,26443,FRUTA,700,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.75,RN
2214,155014,-99,26443,FRUTA,700,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.75,PB
2215,155014,-99,26443,FRUTA,700,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.75,PE
2228,155014,-99,26443,LEGUME IN NATURA,2590,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.98,RN
2229,155014,-99,26443,LEGUME IN NATURA,2590,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.98,PB
2230,155014,-99,26443,LEGUME IN NATURA,2590,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.98,PE
2231,155014,-99,26443,FRUTA,11493,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.28,RN
2232,155014,-99,26443,FRUTA,11493,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.28,PB
2233,155014,-99,26443,FRUTA,11493,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.28,PE
2234,155014,-99,26443,FRUTA,3948,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.38,RN
2235,155014,-99,26443,FRUTA,3948,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.38,PB
2236,155014,-99,26443,FRUTA,3948,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.38,PE
2237,155014,-99,26443,FRUTA,100,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,2.1,RN
2238,155014,-99,26443,FRUTA,100,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,2.1,PB
2239,155014,-99,26443,FRUTA,100,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,2.1,PE
2243,155014,-99,26443,FRUTA,5100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,4.21,RN
2244,155014,-99,26443,FRUTA,5100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,4.21,PB
2245,155014,-99,26443,FRUTA,5100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,4.21,PE
2246,155014,-99,26443,LEGUME IN NATURA,45,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.8,RN
2247,155014,-99,26443,LEGUME IN NATURA,45,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.8,PB
2248,155014,-99,26443,LEGUME IN NATURA,45,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.8,PE
2249,155014,-99,26443,FRUTA,5648,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,0.88,RN
2250,155014,-99,26443,FRUTA,5648,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,0.88,PB
2251,155014,-99,26443,FRUTA,5648,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,0.88,PE
2252,155014,-99,26443,FRUTA,7300,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,1.4,RN
2253,155014,-99,26443,FRUTA,7300,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,1.4,PB
2254,155014,-99,26443,FRUTA,7300,18413636000120,26000,SANTA CRUZ,2022-02-02,334555.65,1.4,PE
2255,155014,-99,26443,LEGUME IN NATURA,800,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.99,RN
2256,155014,-99,26443,LEGUME IN NATURA,800,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.99,PB
2257,155014,-99,26443,LEGUME IN NATURA,800,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.99,PE
2267,155014,-99,26443,LEGUME IN NATURA,585,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.88,RN
2268,155014,-99,26443,LEGUME IN NATURA,585,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.88,PB
2269,155014,-99,26443,LEGUME IN NATURA,585,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.88,PE
2273,155014,-99,26443,LEGUME IN NATURA,1745,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.25,RN
2274,155014,-99,26443,LEGUME IN NATURA,1745,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.25,PB
2275,155014,-99,26443,LEGUME IN NATURA,1745,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.25,PE
2276,155014,-99,26443,LEGUME IN NATURA,80,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,17.45,RN
2277,155014,-99,26443,LEGUME IN NATURA,80,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,17.45,PB
2278,155014,-99,26443,LEGUME IN NATURA,80,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,17.45,PE
2279,155014,-99,26443,LEGUME IN NATURA,80,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,17.39,RN
2280,155014,-99,26443,LEGUME IN NATURA,80,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,17.39,PB
2281,155014,-99,26443,LEGUME IN NATURA,80,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,17.39,PE
2324,155014,-99,26443,LEGUME IN NATURA,45,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,4.44,RN
2325,155014,-99,26443,LEGUME IN NATURA,45,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,4.44,PB
2326,155014,-99,26443,LEGUME IN NATURA,45,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,4.44,PE
2345,155014,-99,26443,FRUTA,2215,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.4,RN
2346,155014,-99,26443,FRUTA,2215,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.4,PB
2347,155014,-99,26443,FRUTA,2215,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,4.4,PE
2348,155014,-99,26443,LEGUME IN NATURA,9020,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.25,RN
2349,155014,-99,26443,LEGUME IN NATURA,9020,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.25,PB
2350,155014,-99,26443,LEGUME IN NATURA,9020,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.25,PE
2354,155014,-99,26443,FRUTA,259,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,6.25,RN
2355,155014,-99,26443,FRUTA,259,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,6.25,PB
2356,155014,-99,26443,FRUTA,259,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,6.25,PE
2357,155014,-99,26443,FRUTA,250,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,6.25,RN
2358,155014,-99,26443,FRUTA,250,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,6.25,PB
2359,155014,-99,26443,FRUTA,250,70026240000140,26000,SANTA CRUZ,2022-02-02,334555.65,6.25,PE
2360,155014,-99,26443,LEGUME IN NATURA,585,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,5.99,RN
2361,155014,-99,26443,LEGUME IN NATURA,585,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,5.99,PB
2362,155014,-99,26443,LEGUME IN NATURA,585,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,5.99,PE
2402,160122,6,52121,FRUTA,90,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,4.890000000000001,RN
2403,160122,6,52121,FRUTA,90,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,4.890000000000001,PB
2404,160122,6,52121,FRUTA,90,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,4.890000000000001,PE
2405,160122,6,52121,FRUTA,20,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,5.49,RN
2406,160122,6,52121,FRUTA,20,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,5.49,PB
2407,160122,6,52121,FRUTA,20,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,5.49,PE
2408,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,21.99,RN
2409,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,21.99,PB
2410,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,21.99,PE
2411,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,25.49,RN
2412,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,25.49,PB
2413,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,25.49,PE
2414,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,21.9,RN
2415,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,21.9,PB
2416,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,21.9,PE
2420,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,6.39,RN
2421,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,6.39,PB
2422,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,6.39,PE
2423,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,8.9,RN
2424,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,8.9,PB
2425,160122,6,52121,FRUTA,10,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,8.9,PE
2426,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,14.29,RN
2427,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,14.29,PB
2428,160122,6,52121,FRUTA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,14.29,PE
2429,160122,6,52121,FRUTA,15,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,32.0,RN
2430,160122,6,52121,FRUTA,15,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,32.0,PB
2431,160122,6,52121,FRUTA,15,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,32.0,PE
2432,160122,6,52121,LEGUME IN NATURA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,5.49,RN
2433,160122,6,52121,LEGUME IN NATURA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,5.49,PB
2434,160122,6,52121,LEGUME IN NATURA,5,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,5.49,PE
2435,160122,6,52121,LEGUME IN NATURA,50,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,4.99,RN
2436,160122,6,52121,LEGUME IN NATURA,50,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,4.99,PB
2437,160122,6,52121,LEGUME IN NATURA,50,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,4.99,PE
2444,160122,6,52121,FRUTA,15,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,8.979999999999999,RN
2445,160122,6,52121,FRUTA,15,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,8.979999999999999,PB
2446,160122,6,52121,FRUTA,15,23727673000143,26000,SANTA CRUZ,2022-02-02,334555.65,8.979999999999999,PE
3366,786800,6,52131,FRUTA,1,16605389000139,52000,RIO DE JANEIRO,2021-02-12,765.39,22.89,RJ
3367,786800,6,52131,FRUTA,1,16605389000139,52000,RIO DE JANEIRO,2022-04-05,100.0,22.89,RJ
3376,786800,6,52131,FRUTA,1,16605389000139,52000,RIO DE JANEIRO,2021-02-12,765.39,19.99,RJ
3377,786800,6,52131,FRUTA,1,16605389000139,52000,RIO DE JANEIRO,2022-04-05,100.0,19.99,RJ
3543,771300,-99,52131,LEGUME IN NATURA,650,34057175000157,52000,RIO DE JANEIRO,2021-12-14,0.0,10.6,RJ
3544,771300,-99,52131,LEGUME IN NATURA,650,34057175000157,52000,MANGARATIBA,2021-01-12,9000.0,10.6,RJ
3585,771300,-99,52131,FRUTA,320,13024866000184,52000,RIO DE JANEIRO,2021-12-14,0.0,5.0600000000000005,RJ
3586,771300,-99,52131,FRUTA,320,13024866000184,52000,MANGARATIBA,2021-01-12,9000.0,5.0600000000000005,RJ
3619,771300,-99,52131,LEGUME IN NATURA,475,01220638000109,52000,RIO DE JANEIRO,2021-12-14,0.0,8.59,RJ
3620,771300,-99,52131,LEGUME IN NATURA,475,01220638000109,52000,MANGARATIBA,2021-01-12,9000.0,8.59,RJ
3693,771300,-99,52131,LEGUME IN NATURA,700,17050144000155,52000,RIO DE JANEIRO,2021-12-14,0.0,6.43,RJ
3694,771300,-99,52131,LEGUME IN NATURA,700,17050144000155,52000,MANGARATIBA,2021-01-12,9000.0,6.43,RJ
3695,771300,-99,52131,LEGUME IN NATURA,310,36245543000116,52000,RIO DE JANEIRO,2021-12-14,0.0,44.0,RJ
3696,771300,-99,52131,LEGUME IN NATURA,310,36245543000116,52000,MANGARATIBA,2021-01-12,9000.0,44.0,RJ
3701,771300,-99,52131,LEGUME IN NATURA,575,34057175000157,52000,RIO DE JANEIRO,2021-12-14,0.0,8.1,RJ
3702,771300,-99,52131,LEGUME IN NATURA,575,34057175000157,52000,MANGARATIBA,2021-01-12,9000.0,8.1,RJ
3703,771300,-99,52131,LEGUME IN NATURA,150,36245543000116,52000,RIO DE JANEIRO,2021-12-14,0.0,8.4,RJ
3704,771300,-99,52131,LEGUME IN NATURA,150,36245543000116,52000,MANGARATIBA,2021-01-12,9000.0,8.4,RJ
3863,771300,-99,52131,LEGUME IN NATURA,733,17386935000150,52000,RIO DE JANEIRO,2021-12-14,0.0,2.47,RJ
3864,771300,-99,52131,LEGUME IN NATURA,733,17386935000150,52000,MANGARATIBA,2021-01-12,9000.0,2.47,RJ
3919,771300,-99,52131,LEGUME IN NATURA,235,34057175000157,52000,RIO DE JANEIRO,2021-12-14,0.0,14.9,RJ
3920,771300,-99,52131,LEGUME IN NATURA,235,34057175000157,52000,MANGARATIBA,2021-01-12,9000.0,14.9,RJ
3937,771300,-99,52131,LEGUME IN NATURA,575,34057175000157,52000,RIO DE JANEIRO,2021-12-14,0.0,12.3,RJ
3938,771300,-99,52131,LEGUME IN NATURA,575,34057175000157,52000,MANGARATIBA,2021-01-12,9000.0,12.3,RJ
4021,771300,-99,52131,FRUTA,300,74116898000102,52000,RIO DE JANEIRO,2021-12-14,0.0,4.01,RJ
4022,771300,-99,52131,FRUTA,300,74116898000102,52000,MANGARATIBA,2021-01-12,9000.0,4.01,RJ
4145,786800,6,52131,LEGUME IN NATURA,1,16605389000139,52000,RIO DE JANEIRO,2021-12-14,0.0,20.69,RJ
4146,786800,6,52131,LEGUME IN NATURA,1,16605389000139,52000,MANGARATIBA,2021-01-12,9000.0,20.69,RJ
4147,786800,6,52131,LEGUME IN NATURA,1,16605389000139,52000,RIO DE JANEIRO,2021-12-14,0.0,11.19,RJ
4148,786800,6,52131,LEGUME IN NATURA,1,16605389000139,52000,MANGARATIBA,2021-01-12,9000.0,11.19,RJ
4149,786800,6,52131,LEGUME IN NATURA,1,16605389000139,52000,RIO DE JANEIRO,2021-12-14,0.0,18.69,RJ
4150,786800,6,52131,LEGUME IN NATURA,1,16605389000139,52000,MANGARATIBA,2021-01-12,9000.0,18.69,RJ
4153,786800,6,52131,FRUTA,2,16605389000139,52000,RIO DE JANEIRO,2021-12-14,0.0,27.39,RJ
4154,786800,6,52131,FRUTA,2,16605389000139,52000,MANGARATIBA,2021-01-12,9000.0,27.39,RJ
4155,786800,6,52131,FRUTA,2,16605389000139,52000,RIO DE JANEIRO,2021-12-14,0.0,32.99,RJ
4156,786800,6,52131,FRUTA,2,16605389000139,52000,MANGARATIBA,2021-01-12,9000.0,32.99,RJ
4495,784310,6,52131,BANDEIRA EM GERAL,1,08664980000139,52000,RIO DE JANEIRO,2022-04-13,48000.0,140.0,RJ
4624,786800,6,52131,FRUTA,1,16605389000139,52000,RIO DE JANEIRO,2022-03-21,567.48,30.69,RJ
4723,160322,-99,52121,PLACA ORTOPÉDICA P/ MINI E MICRO FRAGMENTOS,20,04255249000107,52000,RIO DE JANEIRO,2022-12-04,29000.0,5313.0,RJ
4753,160322,-99,52121,PLACA ORTOPÉDICA P/ MINI E MICRO FRAGMENTOS,50,28975382000198,52000,RIO DE JANEIRO,2022-12-04,29000.0,4900.0,RJ
4757,160322,-99,52121,PLACA ORTOPÉDICA P/ MINI E MICRO FRAGMENTOS,10,28975382000198,52000,RIO DE JANEIRO,2022-12-04,29000.0,3800.0,RJ
